"grade","verification_status","total_loans","default_loan_count","default_rate"
"A","Not Verified","5000","286","5.72"
"A","Source Verified","2484","133","5.35"
"A","Verified","2205","133","6.03"
"B","Not Verified","5271","584","11.08"
"B","Source Verified","2882","340","11.80"
"B","Verified","3521","419","11.90"
"C","Not Verified","3423","550","16.07"
"C","Source Verified","1949","303","15.55"
"C","Verified","2532","413","16.31"
"D","Not Verified","1911","390","20.41"
"D","Source Verified","1362","302","22.17"
"D","Verified","1909","380","19.91"
"E","Not Verified","645","143","22.17"
"E","Source Verified","753","192","25.50"
"E","Verified","1388","356","25.65"
"F","Not Verified","170","45","26.47"
"F","Source Verified","280","89","31.79"
"F","Verified","578","177","30.62"
"G","Not Verified","44","17","38.64"
"G","Source Verified","67","23","34.33"
"G","Verified","202","58","28.71"
